subject,type,questionText,options,correctAnswer,difficulty
Math,choice,2+2=?,2|3|4|5,4,1
Math,blank,5+______=10,,5,1
Math,choice,3*3=?,6|7|8|9,9,1
Math,blank,10-______=5,,5,1
Math,choice,10/2=?,4|5|6|7,5,1
Math,blank,15-______=10,,5,1
Math,choice,1+1=?,1|2|3|4,2,1
Math,blank,8-______=3,,5,1
Math,choice,6/3=?,1|2|3|4,2,1
Math,blank,12-______=7,,5,1
Math,choice,2*2=?,2|3|4|5,4,1
Math,blank,9-______=4,,5,1
Math,choice,5+3=?,6|7|8|9,8,1
Math,blank,7-______=2,,5,1
Math,choice,8/4=?,1|2|3|4,2,1
Math,blank,14-______=9,,5,1
Math,choice,9-3=?,3|4|5|6,6,1
Math,blank,11-______=6,,5,1
Math,choice,7+2=?,7|8|9|10,9,1
Math,blank,6-______=1,,5,1
Math,choice,15/3=?,3|4|5|6,5,2
Math,blank,20-______=10,,10,2
Math,choice,4*4=?,12|14|16|18,16,2
Math,blank,25-______=15,,10,2
Math,choice,6*3=?,16|18|20|22,18,2
Math,blank,30-______=20,,10,2
Math,choice,8+7=?,13|14|15|16,15,2
Math,blank,35-______=25,,10,2
Math,choice,9*2=?,16|18|20|22,18,2
Math,blank,40-______=30,,10,2
Math,choice,10-4=?,5|6|7|8,6,2
Math,blank,45-______=35,,10,2
Math,choice,12/4=?,2|3|4|5,3,2
Math,blank,50-______=40,,10,2
Math,choice,14+3=?,16|17|18|19,17,2
Math,blank,55-______=45,,10,2
Math,choice,15-5=?,7|8|9|10,10,2
Math,blank,60-______=50,,10,2
Math,choice,20/4=?,3|4|5|6,5,2
Math,blank,65-______=55,,10,2
Math,choice,25-10=?,13|14|15|16,15,2
Math,blank,70-______=60,,10,2
Math,choice,30/5=?,4|5|6|7,6,2
Math,blank,75-______=65,,10,2
Math,choice,35-15=?,18|19|20|21,20,2
Math,blank,80-______=70,,10,2
Math,blank,The sum of the measures of the interior angles of a triangle is ______ degrees.,,180,3
Math,blank,The value of π (pi) to two decimal places is ______.,,3.14,3
Math,blank,The square root of 49 is ______.,,7,3
Math,blank,If a = 5 and b = 3, then a^2 + b^2 = ______.,,34,3
Math,blank,The formula for the area of a circle is π × r^______.,,2,3
Math,choice,Which of the following is a prime number?,"2|6|11|15",11,3
Math,choice,What is the value of 3^4?,"81|27|12|64",81,3
Math,choice,Which of the following is a quadrilateral?,"Circle|Triangle|Rectangle|Sphere",Rectangle,3
Math,choice,If x = 3 and y = 5 and what is the value of 2x + 3y?,"21|25|29|33",29,3

History,choice,Who was the first president of the USA?,Washington|Lincoln|Jefferson|Adams,Washington,1
History,blank,The year 1776 is significant because of ______.,,Declaration of Independence,1
History,choice,Who discovered America?,Columbus|Vespucci|Magellan|Cook,Columbus,1
History,blank,The Roman Empire fell in ______ AD.,,476,1
History,choice,Who was known as the Maid of Orleans?,Joan of Arc|Catherine|Elizabeth|Marie,Joan of Arc,1
History,blank,The Magna Carta was signed in ______.,,1215,1
History,choice,Who was the British Prime Minister during WWII?,Churchill|Attlee|Thatcher|Blair,Churchill,1
History,blank,Napoleon was exiled to the island of ______.,,Elba,1
History,choice,Who was the first man on the moon?,Armstrong|Aldrin|Glenn|Gagarin,Armstrong,1
History,blank,The Battle of Hastings occurred in ______.,,1066,1
History,choice,Who wrote the Iliad and the Odyssey?,Homer|Virgil|Ovid|Sophocles,Homer,1
History,blank,The Berlin Wall fell in ______.,,1989,1
History,choice,Who was the first emperor of China?,Qin Shi Huang|Han Gaozu|Wu Zetian|Tang Taizong,Qin Shi Huang,1
History,blank,The Titanic sank in ______.,,1912,1
History,choice,Who discovered penicillin?,Fleming|Pasteur|Salk|Jenner,Fleming,1
History,blank,The Industrial Revolution began in ______.,,1760,1
History,choice,Who was the leader of the Soviet Union during WWII?,Stalin|Lenin|Khrushchev|Brezhnev,Stalin,1
History,blank,The Great Depression started in ______.,,1929,1
History,choice,Who was the first female Prime Minister of the UK?,Thatcher|May|Merkel|Clinton,Thatcher,1
History,blank,The US Civil War ended in ______.,,1865,1
History,choice,Who was known as the Iron Lady?,Thatcher|Clinton|May|Merkel,Thatcher,2
History,blank,The French Revolution began in ______.,,1789,2
History,choice,Who was the first African American president of the USA?,Obama|Bush|Clinton|Lincoln,Obama,2
History,blank,The Berlin Wall was built in ______.,,1961,2
History,choice,Who was the founder of the Mongol Empire?,Genghis Khan|Kublai Khan|Timur|Babur,Genghis Khan,2
History,blank,The first human to orbit the Earth was ______.,,Gagarin,2
History,choice,Who was the first woman to fly solo across the Atlantic?,Earhart|Johnson|Bach|Blair,Earhart,2
History,blank,The Wright brothers flew the first airplane in ______.,,1903,2
History,choice,Who wrote the Communist Manifesto?,Marx|Engels|Lenin|Stalin,Marx,2
History,blank,The Treaty of Versailles was signed in ______.,,1919,2
History,choice,Who was the longest reigning British monarch?,Elizabeth II|Victoria|George III|Henry VIII,Elizabeth II,2
History,blank,The American Civil War started in ______.,,1861,2
History,choice,Who was the King of England during the American Revolution?,George III|Henry VIII|Edward I|Richard III,George III,2
History,blank,The Declaration of Independence was signed in ______.,,1776,2
History,choice,Who discovered the law of gravity?,Newton|Galileo|Kepler|Einstein,Newton,2
History,blank,The Battle of Waterloo was fought in ______.,,1815,2
History,choice,Who was the first president of South Africa?,Mandela|Mbeki|Zuma|De Klerk,Mandela,2
History,blank,The Black Death occurred in ______.,,1347,2
History,choice,Who was the leader of the Indian independence movement?,Gandhi|Nehru|Patel|Jinnah,Gandhi,2
History,blank,The Russian Revolution began in ______.,,1917,2
History,choice,Who was the first Roman emperor?,Augustus|Julius Caesar|Nero|Caligula,Augustus,2
History,blank,The Renaissance began in ______.,,14th century,2
History,blank,The American Civil War was fought between ______ and ______.,,North and South,3
History,blank,The Renaissance period began in the ______ century.,,14th,3
History,blank,The pyramids of Giza were built in ______.,,Egypt,3
History,blank,The First World War started in the year ______.,,1914,3
History,blank,The fall of the Roman Empire occurred in ______.,,476 AD,3
History,choice,Who was the first president of the United States?,"George Washington|Thomas Jefferson|Abraham Lincoln|John Adams",George Washington,3
History,choice,Which ancient civilization built the Great Wall of China?,"Egyptians|Romans|Greeks|Chinese",Chinese,3
History,choice,In which year did World War II end?,"1939|1941|1945|1948",1945,3
History,choice,Which event marked the beginning of the French Revolution?,"Storming of the Bastille|Reign of Terror|Napoleonic Wars|Treaty of Versailles",Storming of the Bastille,3
History,choice,Who was the leader of the Soviet Union during World War II?,"Joseph Stalin|Vladimir Lenin|Nikita Khrushchev|Mikhail Gorbachev",Joseph Stalin,3

Science,choice,What is the chemical symbol for water?,H2O|CO2|O2|H2,H2O, 1
Science,blank,The Earth revolves around the ______.,,sun,1
Science,choice,What is the speed of light?,299792 km/s|150000 km/s|108000 km/s|384400 km/s,299792 km/s, 1
Science,blank,Plants convert sunlight into energy through ______.,,photosynthesis,1
Science,choice,What is the boiling point of water?,100°C|90°C|80°C|110°C,100°C, 1
Science,blank,The human body has ______ bones.,,206,1
Science,choice,What is the chemical formula for salt?,NaCl|KCl|MgCl2|CaCl2,NaCl, 1
Science,blank,The main gas in the Earth's atmosphere is ______.,,nitrogen,1
Science,choice,What planet is known as the Red Planet?,Mars|Venus|Jupiter|Saturn,Mars, 1
Science,blank,The process of cell division is called ______.,,mitosis,1
Science,choice,What is the most abundant element in the universe?,Hydrogen|Oxygen|Carbon|Helium,Hydrogen, 1
Science,blank,Water freezes at ______ degrees Celsius.,,0,1
Science,choice,What is the largest organ in the human body?,Skin|Liver|Heart|Lungs,Skin, 1
Science,blank,The force that keeps us on the ground is called ______.,,gravity,1
Science,choice,What is the basic unit of life?,Cell|Atom|Molecule|Organ,Cell, 1
Science,blank,The process by which plants make food is called ______.,,photosynthesis,1
Science,choice,What gas do plants take in during photosynthesis?,Carbon dioxide|Oxygen|Nitrogen|Hydrogen,Carbon dioxide, 1
